,Date,Control.mean,Control_2.mean,plot1.mean,plot2.mean,plot3.mean,plot4.mean,plot1.15.mean,plot2.15.mean,plot3.15.mean,plot4.15.mean,AirTC.mean,RH.mean,Control.std.error,Control_2.std.error,plot1.std.error,plot2.std.error,plot3.std.error,plot4.std.error,plot1.15.std.error,plot2.15.std.error,plot3.15.std.error,plot4.15.std.error,AirTC.std.error,RH.std.error,1dcon,2dcon,3dcon,4dcon,1dcon.std.error,2dcon.std.error,3dcon.std.error,4dcon.std.error
58,7/9/2022,0.299364583,0.2893125,0.292545139,0.287847222,0.298381944,0.339642361,0.280121528,0.304614583,0.2529375,0.340524306,25.975,52.440625,0.000359434,0.000381396,0.000274577,0.000182168,0.000195775,0.00020378,0.000310753,0.000180988,0.000207458,0.000352647,0.994537239,3.007825382,-0.009190972,0.015302083,-0.036375,0.051211806,0.000310753,0.000180988,0.000207458,0.000352647
59,7/10/2022,0.29765625,0.286041667,0.291708333,0.282385417,0.298645833,0.339291667,0.277680556,0.301961806,0.252520833,0.332902778,24.52583333,55.02979167,0.000269351,0.000297252,0.00022132,0.000193607,0.000153803,0.00053328,0.000280538,0.000151573,0.000159098,0.001049203,0.919925444,2.587121618,-0.008361111,0.015920139,-0.033520833,0.046861111,0.000280538,0.000151573,0.000159098,0.001049203
60,7/11/2022,0.29596875,0.283677083,0.2904375,0.295013889,0.288506944,0.345135417,0.275659722,0.279895833,0.240138889,0.339975694,19.71479167,72.11583333,0.000271227,0.000276053,0.000180042,0.001661483,0.000959311,0.000147888,0.000220809,0.002016576,0.001141085,0.000324001,0.503136783,1.701120056,-0.008017361,-0.00378125,-0.043538194,0.056298611,0.000220809,0.002016576,0.001141085,0.000324001
61,7/12/2022,0.295541667,0.28228125,0.288510417,0.291211806,0.288114583,0.341722222,0.273600694,0.280013889,0.240022569,0.33040625,22.37114583,61.93854167,0.000295402,0.000377173,0.000231001,0.001546242,0.000994975,0.000161066,0.00033145,0.002252056,0.001270621,0.000237515,0.790421535,2.615179495,-0.008680556,-0.002267361,-0.042258681,0.048125,0.00033145,0.002252056,0.001270621,0.000237515
62,7/13/2022,0.295291667,0.280677083,0.28734375,0.274711806,0.296326389,0.338277778,0.272277778,0.298152778,0.250236111,0.322381944,24.0128125,55.23770833,0.000394289,0.00040134,0.000243205,0.000124548,0.000202565,0.000183948,0.000330458,0.000238013,0.000222017,0.000178456,0.939099626,2.766462965,-0.008399306,0.017475694,-0.030440972,0.041704861,0.000330458,0.000238013,0.000222017,0.000178456
63,7/14/2022,0.296864583,0.281822917,0.28828125,0.272131944,0.297402778,0.336173611,0.273486111,0.298854167,0.251315972,0.315625,25.9834375,49.58958333,0.000325664,0.000389555,0.00026145,0.0001155,0.000151818,0.000164606,0.00035909,0.000205303,0.000169664,0.000213874,0.736656488,1.896275539,-0.008336806,0.01703125,-0.030506944,0.033802083,0.00035909,0.000205303,0.000169664,0.000213874
64,7/15/2022,0.297770833,0.282291667,0.289486111,0.270256944,0.298638889,0.335239583,0.2739375,0.299427083,0.252368056,0.310618056,25.83729167,55.85510417,0.000229167,0.0002825,0.000176736,9.44E-05,0.000158473,0.000118439,0.000218387,0.000158783,0.00016924,0.000114918,0.592182617,1.7357722,-0.008354167,0.017135417,-0.029923611,0.028326389,0.000218387,0.000158783,0.00016924,0.000114918
65,7/16/2022,0.2975625,0.282135417,0.289173611,0.268434028,0.299333333,0.333899306,0.273288194,0.299295139,0.252756944,0.307100694,24.73739583,62.56322917,0.000279729,0.000346859,0.00019054,9.65E-05,0.000163493,0.000125958,0.000258181,0.00016311,0.000165896,0.000143331,0.626706849,2.203180608,-0.008847222,0.017159722,-0.029378472,0.024965278,0.000258181,0.00016311,0.000165896,0.000143331
66,7/17/2022,0.296635417,0.28121875,0.288194444,0.265940972,0.299013889,0.331631944,0.272065972,0.297805556,0.252236111,0.30178125,26.38489583,52.34729167,0.000368175,0.0004548,0.000256716,0.000121214,0.000218476,0.000189289,0.00035908,0.000217624,0.000218811,0.000140299,0.82077345,2.509456228,-0.009152778,0.016586806,-0.028982639,0.0205625,0.00035908,0.000217624,0.000218811,0.000140299
67,7/18/2022,0.297947917,0.282385417,0.289048611,0.264732639,0.299958333,0.331107639,0.272902778,0.297965278,0.252767361,0.303927083,26.50739583,52.29427083,0.000365559,0.000447304,0.000278055,0.000162118,0.000185175,0.000181872,0.000399406,0.000264468,0.000180974,0.001245305,0.82176235,2.351362389,-0.009482639,0.015579861,-0.029618056,0.021541667,0.000399406,0.000264468,0.000180974,0.001245305
68,7/19/2022,0.297010417,0.28315625,0.289413194,0.263899306,0.300392361,0.330767361,0.273385417,0.298041667,0.252958333,0.315381944,27.43479167,48.08166667,0.000297465,0.000391334,0.000246947,0.000117138,0.000221251,0.000201971,0.000331439,0.000204795,0.000210254,0.000199474,0.777414137,1.917411625,-0.009770833,0.014885417,-0.030197917,0.032225694,0.000331439,0.000204795,0.000210254,0.000199474
69,7/20/2022,0.296854167,0.282520833,0.289180556,0.262239583,0.300572917,0.330368056,0.272708333,0.296916667,0.25271875,0.308631945,25.2315625,49.73354167,0.00031483,0.000307073,0.000218699,0.000118952,0.000165986,0.000158459,0.000281723,0.000173191,0.000178548,0.0002957,0.614777886,1.642286676,-0.0098125,0.014395833,-0.029802083,0.026111111,0.000281723,0.000173191,0.000178548,0.0002957
70,7/21/2022,0.2949375,0.279239583,0.287475695,0.261420139,0.299305556,0.328184028,0.270190972,0.294631944,0.2513125,0.300454861,23.84291667,58.30833333,0.000304503,0.00034879,0.000225492,0.000269749,0.000202185,0.000170559,0.000293934,0.000216322,0.000199708,0.000221533,0.872523009,2.64025301,-0.009048611,0.015392361,-0.027927083,0.021215278,0.000293934,0.000216322,0.000199708,0.000221533
71,7/22/2022,0.294135417,0.27865625,0.286135417,0.262232639,0.298173611,0.326399306,0.269111111,0.293395833,0.248842014,0.297204861,25.67333333,45.063125,0.000417706,0.000400063,0.000268496,0.000118995,0.000205906,0.000194065,0.000362559,0.000227137,0.000486391,0.000209739,0.862578215,2.092964197,-0.009545139,0.014739583,-0.029814236,0.018548611,0.000362559,0.000227137,0.000486391,0.000209739
72,7/23/2022,0.299020833,0.287052083,0.293270833,0.272083333,0.298611111,0.334583333,0.274552083,0.298055556,0.250972222,0.322128472,23.07541667,66.254375,0.000875467,0.001576024,0.001388412,0.001773979,0.000213156,0.001547958,0.001071253,0.001100058,0.000308018,0.00442079,0.797463989,2.668573116,-0.0125,0.011003472,-0.036079861,0.035076389,0.001071253,0.001100058,0.000308018,0.00442079
73,7/24/2022,0.31828125,0.319114583,0.322788194,0.304961806,0.29884375,0.3879375,0.298927083,0.345079861,0.253482639,0.398145833,19.57479167,85.90114583,0.000902324,0.001011108,0.00066771,0.001191004,0.000116808,0.002482273,0.000898507,0.001558013,0.000102225,0.001161704,0.404463473,1.578886231,-0.0201875,0.025965278,-0.065631944,0.07903125,0.000898507,0.001558013,0.000102225,0.001161704
74,7/25/2022,0.325125,0.325364583,0.323784722,0.314927083,0.298006945,0.415680556,0.308631944,0.360336806,0.252013889,0.397229167,24.12895833,66.170625,0.000254456,0.0002544,0.000296379,0.000147692,0.000135902,0.000148983,0.000280606,4.92E-05,0.000117428,0.00024559,0.702618965,2.626544186,-0.016732639,0.034972222,-0.073350694,0.071864583,0.000280606,4.92376E-05,0.000117428,0.00024559
